study_id,ref_id,author,year,country,population,screener,arm,age_mean,age_sd,age_lo,age_hi,n_m,n_f,dx_standard,risk_factor,n_screened,screen_pos,n_dx,n_pos,n_neg,n_data,tp,fp,fn,tn,fp_dev_delay,fp_lang_delay,fp_normal,fp_non_asd,tn_dev_delay,tn_lang_delay,tn_normal,tn_non_asd
9,660,Snow,2008,USA,developmental delay,M-CHAT,failing 2 items,NR,NR,18,48,63,19,"DSM-IV, ADOS, GARS, CARS, PDD beh inventory",developmental delay,56,38,56,43,13,56,30,8,13,5,0,0,0,8,0,0,0,5
9,660,Snow,2008,USA,developmental delay,M-CHAT,failing 3 items,NR,NR,18,48,63,19,"DSM-IV, ADOS, GARS, CARS, PDD beh inventory",developmental delay,56,46,56,43,13,56,38,8,5,5,0,0,0,8,0,0,0,5
9,660,Snow,2008,USA,developmental delay,SCQ,cut-off score of >=13,NR,NR,30,70,63,19,"DSM-IV, ADOS, GARS, CARS, PDD beh inventory",developmental delay,65,34,65,40,25,65,34,15,6,10,0,0,0,15,0,0,0,10
9,660,Snow,2008,USA,developmental delay,SCQ,cut-off score of >=15,NR,NR,30,70,63,19,"DSM-IV, ADOS, GARS, CARS, PDD beh inventory",developmental delay,65,40,65,40,25,65,28,12,12,13,0,0,0,12,0,0,0,13
10,807,Gray,2008,Australia,developmental delay,DBC-Early Screen ,NA,38.33,7,20.53,51.25,172,35,"DSM-IV, ADI-R, ADOS, PEP-R, WPPSI-III, VABS, DBC-P",developmental delay,207,152,207,142,65,207,118,34,24,31,0,0,0,34,0,0,0,31
11,810,VanDenHeuvel,2007,Ireland,general population,CHAT,Screen 2,NR,NR,18,20,NR,NR,Diagnostic assessment by experienced psychologist,none,2117,29,7,3,4,7,3,4,NA,NA,1,0,0,3,NA,NA,NA,NA
12,837,Corsello,2007,USA,developmental delay,SCQ,NA,NR,NR,24,192,462,128,"DSM-IV, unstructured interview",developmental delay,201,118,200,157,43,200,107,11,50,32,0,0,0,11,0,0,0,32
13,885,Nadig,2007,US,sibling,Response to name,sibling,12,NR,NR,NR,84,63,"CBE based on ADOS, Mullen",sibling,245,147,71,10,61,71,5,7,5,54,2,1,3,1,NR,NR,NR,NR
6,886,Dietz,2007,"Nether
lands",general population,ESAT-4 items,NA,NR,NR,NR,NR,233,137,"standardized parent interview, developmental  history, 
Vineland Social-Emotional Early Childhood Scales, behavior observation using ADOS or ADOS-G
ADI-R",none,31724,370,66,19,47,66,19,47,NA,NA,0,0,0,47,NA,NA,NA,NA
6,886,Dietz,2007,"Nether
lands",general population,ESAT-14 items,NA,NR,NR,NR,NR,130,43,"standardized parent interview, developmental  history, 
Vineland Social-Emotional Early Childhood Scales, behavior observation using ADOS or ADOS-G
ADI-R",none,364,173,141,58,83,141,58,83,NA,NA,0,0,0,83,NA,NA,NA,NA
15,1000,Eaves,2006,Canada,developmental delay,M-CHAT,NA,37.2,6.4,17,48,NR,NR,"CARS, DSM-IV & 
clinical judgement",developmental delay,84,70,82,52,30,82,48,22,4,8,0,0,0,22,0,0,0,8
6,1004,Dietz,2006,"Nether
lands",general population,ESAT-14 items,NA,16.31,1.86,14,30,161,94,"standardized parent interview, developmental  history, 
Vineland Social-Emotional Early Childhood Scales, behavior observation using ADOS or ADOS-G
ADI-R",none,255,100,73,18,55,73,18,55,NA,NA,0,18,0,37,NA,NA,NA,NA
16,1140,Eaves,2004,USA,developmental delay,PDDST 1-2, >=3 items failed (at 2.5 years),33,4.58,NR,NR,39,10,"DSM-IV, Bayley Scales of Infant Development,
VABS,CARS",developmental delay,35,35,49,43,6,35,31,4,NA,NA,0,0,0,4,NA,NA,NA,NA
16,1140,Eaves,2004,USA,developmental delay,PDDST 1-2, >=3 items failed (at 4.5 years),33,4.58,NR,NR,39,10,"DSM-IV, Bayley Scales of Infant Development,
VABS,CARS",developmental delay,35,35,49,40,9,35,29,6,NA,NA,0,0,0,6,NA,NA,NA,NA
17,1352,Baird,2000,UK,general population,CHAT-initial screen,screen 1,18.7,1.1,NR,NR,NR,NR,"ADI-R, Leiter IPS or Kaufman Assessment battery, RDLS or clinical evaluation of language fundamentals",none,16235,407,16235,94,16141,16235,33,374,61,15767,0,0,0,374,0,0,0,15767
17,1352,Baird,2000,UK,general population,CHAT-followup screen,screen2,18.7,1.1,NR,NR,NR,NR,"ADI-R, Leiter IPS or Kaufman Assessment battery, RDLS or clinical evaluation of language fundamentals",none,60,34,34,20,14,34,20,14,NA,NA,0,0,0,14,NA,NA,NA,NA
8,1550,Matson,2009,USA,developmental delay,Biscuit-Part 1,NA,26.44,4.98,17,37,708,299,"DSM-IV-TR, M-CHAT, 
ICD-10",developmental delay,1007,382/957,1007,330,677,957,296,86,21,554,0,0,0,86,0,0,0,554
18,1558,Wetherby,2008,USA,general population,ITC,NA,NR,NR,6,24,2752,2633,"CSBS, Mullen Vineland, ADOS, SCQ",none,5385,969,60,60,0,60,56,0,4,0,0,0,0,0,0,0,0,0
8,1580,LoVullo,2012,USA,developmental delay,Biscuit-Part 1,NA,NR,NR,17,37,1515,644,"DSM-IV-TR criteria,
M-CHAT, 
Battelle Developmental Inventory",developmental delay,2168,685,2168,642,1526,2168,604,81,38,1445,0,0,0,81,0,0,0,1445
8,1581,Kozlowski,2012,USA,developmental delay,M-CHAT,NA,NR,NR,18,30,184,59,"Battelle Developmental Inventory, 
M-CHAT, and DSM-IV-TR criteria",developmental delay,243,243,243,141,102,243,141,102,NA,NA,0,0,0,102,NA,NA,NA,NA
19,1942,Inada,2011,Japan,general population,M-CHAT Japanese 23 items,Full version >=2 cut-off value,NR,NR,NR,NR,612,575,"DSM-IV-TR criteria using CARS
 _ Tokyo Version",none,1187,148,1187,20,1167,1187,15,133,5,1034,0,0,0,133,0,0,0,1034
19,1942,Inada,2011,Japan,general population,M-CHAT-Japanese 9 items,Short version >=2 cut-off value,NR,NR,NR,NR,612,575,"DSM-IV-TR criteria using the CARS
 _ Tokyo Version",none,1187,60,1187,20,1167,1187,11,49,9,1118,0,0,0,49,0,0,0,1118
20,3114,Cheblowski,2013,USA,general population,M-CHAT + interview,NA,20.4,3.1,NR,NR,9601,9388,"ADOS,  ADI-R, Mullen Scales of early Learning, 
the VABSand CARS, DSM-IV",none,18989,272,171,92,79,171,92,79,NA,NA,37,18,4,20,NA,NA,NA,NA
21,176_400,Barbaro,2011,Australia,general population,SACS checklists,"results at 
12 months",NR,NR,NR,NR,8,2,"investigator administered: Mullen Scales of Early Learning, Early Social and Communication Scales; imitation/name call/spontaneous play tasks (+empathy at 18 mos only); CHAT-23 (at 18 mos only)
parent questionnaires: Infant Toddler Checklist-CSBS-DP; Early Development Interview; CHAT-23 (18 mos only)
At 24 mos: investigator administered: Mullen Scales of Early Learning; ADOS; Imitation/empathy tasks
",none,20770,216,10,9,1,10,9,1,NA,NA,1,1,0,0,NA,NA,NA,NA
21,176_400,Barbaro,2011,Australia,general population,SACS checklists,"results at 
18 months",NR,NR,NR,NR,37,8,"investigator administered: Mullen Scales of Early Learning, Early Social and Communication Scales; imitation/name call/spontaneous play tasks (+empathy at 18 mos only); CHAT-23 (at 18 mos only)
parent questionnaires: Infant Toddler Checklist-CSBS-DP; Early Development Interview; CHAT-23 (18 mos only)
At 24 mos: investigator administered: Mullen Scales of Early Learning; ADOS; Imitation/empathy tasks
",none,20770,216,46,37,9,46,37,9,NA,NA,8,8,1,0,NA,NA,NA,NA
21,176_400,Barbaro,2011,Australia,general population,SACS checklists,"results at 
24 months",NR,NR,NR,NR,75,24,"investigator administered: Mullen Scales of Early Learning, Early Social and Communication Scales; imitation/name call/spontaneous play tasks (+empathy at 18 mos only); CHAT-23 (at 18 mos only)
parent questionnaires: Infant Toddler Checklist-CSBS-DP; Early Development Interview; CHAT-23 (18 mos only)
At 24 mos: investigator administered: Mullen Scales of Early Learning; ADOS; Imitation/empathy tasks
",none,20770,216,100,79,21,100,79,21,NA,NA,20,20,1,0,NA,NA,NA,NA
22,298a,Canal-Bedia,2011,Spain,general population + developmental delay,M-CHAT,NA,NR,NR,NR,NR,1303,1177,"DSM-IV TR, VABS, Merrill-Palmer revised scales, 
ADOS-G ",some developmental delay,2480,429,86,23,63,86,23,63,NA,NA,0,0,0,63,NA,NA,NA,NA
22,298b,Canal-Bedia,2011,Spain,general population,M-CHAT,NA,NR,NR,NR,NR,1106,949,"DSM-IV TR, VABS, Merrill-Palmer revised scales, 
ADOS-G ",none,2055,336,31,6,25,31,6,25,NA,NA,0,0,0,25,NA,NA,NA,NA
